country,id,year,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment
Lesotho,LSO,2020,47.5,35.2,77.5,-28.00166692,-7.458717059,2.537792082,4.978096763,54.693,1.267840873,2.2541,0.64560554,18.351,2.805682831
Lesotho,LSO,2021,50.4,37.7,80.6,12.37219246,1.852678521,2.516977753,6.04774592,53.062,1.20621788,2.281454,0.56727865,18.129,2.751412734
Lesotho,LSO,2022,50,37.7,83.6,7.820069161,1.285504125,2.699990941,8.271803899,53.036,1.062557097,2.305825,0.403874539,16.668,2.620828123
Liberia,LBR,2019,23.1,8.3,37,-86.68170046,-2.467297635,1.921786089,,61.104,1.94236198,4.985289,0.987936296,3.072,2.845409339
Liberia,LBR,2020,27.6,8.1,45.4,-737.9679466,-2.982491276,1.679705449,,60.948,2.031168603,5.087584,1.046684322,4.092,2.945325974
Liberia,LBR,2021,29.8,8.1,49.5,-535.5829055,4.986712835,1.558742249,,60.747,2.05886078,5.193416,1.043515837,3.792,2.983750285
Liberia,LBR,2022,31.8,14.9,53.7,-960.1924687,4.808105173,1.712683247,,61.1,2.082087222,5.302681,1.039288467,2.99,3.013573699
Libya,LBY,2019,68.5,,100,-268.5,-5.994783943,17.83528002,-2.162178835,72.463,1.399514414,6.569088,-0.073730519,19.037,1.762139685
Libya,LBY,2020,69.4,,100,350.4,-58.31823042,16.26187902,1.44703657,72.472,1.283445092,6.653942,-0.248055659,19.535,1.653430898
Libya,LBY,2021,70.2,,100,-377.6,153.4926407,18.17152297,2.868330278,71.911,1.214947645,6.735277,-0.36671793,19.595,1.589752615
Libya,LBY,2022,70,,100,,1.336148097,19.48790102,4.510301492,72.151,1.137688282,6.812341,-0.496109095,19.319,1.517238127
Liechtenstein,LIE,2019,100,100,100,,,,,84.16097561,0.785258982,0.038482,0.746283486,,1.017820492
Liechtenstein,LIE,2020,100,100,100,,,,,81.65853659,0.709498302,0.038756,0.656374765,,1.025465494
Liechtenstein,LIE,2021,100,100,100,,,,,84.40243902,0.727556394,0.039039,0.664074917,,1.103606787
Liechtenstein,LIE,2022,100,100,100,,,,,84.3195122,0.735015942,0.039327,0.656718778,,1.196565394
Lithuania,LTU,2019,100,100,100,-1272.922206,4.665678381,40.57780374,2.33450938,76.28292683,-0.264704355,2.794137,-0.810799369,6.255,-0.004957782
Lithuania,LTU,2020,100,100,100,-656.2523768,-0.024612495,41.16821498,1.19989445,74.97804878,0.026766758,2.794885,-0.569100373,8.487,0.30781254
Lithuania,LTU,2021,100,100,100,-1456.299616,6.284710039,46.41006764,4.683544209,74.03658537,0.21280543,2.800839,-0.424603358,7.112,0.510732876
Lithuania,LTU,2022,100,100,100,-1841.085898,2.440175465,50.99727897,19.70504615,75.79268293,1.09366808,2.831639,0.411053792,5.956,1.409654515
Low & middle income,LMY,2019,88.04908896,81.22197718,96.40251705,,4.085397652,10.89464232,2.726430374,71.41327999,1.235459762,6324.580903,0.126593932,5.789351217,2.367904155
Low & middle income,LMY,2020,88.41205046,81.49510317,96.38680069,,-1.189686678,10.88624671,2.993135559,70.74702273,1.173983243,6398.830423,0.084301588,6.614728874,2.262148485
Low & middle income,LMY,2021,89.57009214,83.12945639,96.89762458,,7.424545926,12.12020907,4.22278962,69.72408438,1.077838737,6467.799496,-0.001055537,6.147954031,2.132404814
Low & middle income,LMY,2022,89.50025763,82.63343982,96.90471032,,3.849025192,13.4293008,8.333706301,70.39558704,0.920774601,6527.353351,-0.128085196,5.452796774,1.92492046
Low income,LIC,2019,41.83698268,30.04065646,70.33894005,,4.233606104,2.083393041,2.802703079,63.42399094,2.83572596,648.755452,2.15393685,5.008268793,4.239679802
Low income,LIC,2020,43.21794711,29.9614286,72.28198946,,0.344386863,2.066872867,4.332968747,62.95453254,2.820510863,667.05367,2.126895932,5.708067889,4.220237549
Low income,LIC,2021,44.81637683,31.46477375,73.51825516,,2.069746686,2.127342727,5.035807682,62.49610951,2.727872107,685.250041,2.018468092,5.654376817,4.130706886
Low income,LIC,2022,44.94832589,29.53812449,74.03698702,,3.736941965,2.2992606370735897,9.950438947,63.01131039,2.696520525,703.727949,1.952047597,5.149262663,4.138841014
Lower middle income,LMC,2019,87.68414423,83.0688505,95.7820539,,4.056323163,7.01073077,3.319253727,68.77964052,1.422508465,2903.108878,0.625638593,5.642870593,2.698605321
Lower middle income,LMC,2020,88.45224039,84.68429803,95.5757812,,-3.585309431,6.968508271,4.924885374,68.24464182,1.40373316,2943.86078,0.584406662,6.702322453,2.689307917
Lower middle income,LMC,2021,90.62382257,87.3530151,96.85406546,,6.651350609,7.68454349,4.315279834,66.53281262,1.333359929,2983.11304,0.490794536,6.05135761,2.628299147
Lower middle income,LMC,2022,90.61933474,87.76669507,96.86813263,,5.822306681,8.616177224705591,7.930929254,67.19697949,1.24911827,3020.37565,0.380241404,4.940165479,2.556682855
